"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,23,0,0,1,1,1,0,0,1,14,4,3,1,10,7,28,1,4,1,2,10,1,1,15,1,4,3,1,1,1,5,2,1,1,16,1,3,2,8,11,2,7,21,4,6,20,5,17,2,1,3,17,6,12,5,1,22,5,3,1,1,1,10,20,1,8,2,1,11,2,15,1,21,2,10,6,13,19,1,15,9,27,1,1,2,6,3,6,2,11,6,4,1,32,31,1,10,1,1,1,4,1,8,1,2,1,4,2,7
31,23,0,0,1,1,0,0,0,1,4,5,4,10,2,9,1,2,1,3,32,1,1,24,2,3,8,11,1,6,14,16,2,1,1,4,1,1,4,2,1,4,1,1,2,1,1,2,6,7,11,1,1,19,1,2,1,15,1,3,1,10,12,2,1,2,5,7,2,4,12,1,1,25,5,1,22,1,10,1,1,3,3,1,2,1,13,4,9,1,1,1,8,19,1,15,15,7,5,1,1,1,5,1,2,1,2,1,1,1
80,23,0,0,1,1,0,0,0,1,7,10,6,2,5,1,28,3,1,7,4,12,9,1,10,3,1,1,14,7,3,11,2,3,18,2,1,2,13,2,6,5,6,2,12,2,6,8,8,1,8,10,2,2,1,15,1,1,1,7,16,12,2,1,4,20,1,1,8,3,7,25,16,4,2,5,29,27,7,3,1,14,1,1,17,7,1,3,10,1,1,2,1,25,9,5,20,1,17,9,10,17,1,22,21,3,1,1,4,25
109,23,0,0,1,1,0,0,0,1,5,3,6,14,2,2,3,11,1,6,2,14,5,1,2,10,2,8,15,14,1,22,3,1,6,1,2,2,2,3,13,9,8,2,15,1,7,4,4,1,7,3,1,12,11,7,8,18,1,7,2,1,4,7,2,19,20,1,2,1,1,8,10,1,1,2,3,3,2,24,1,3,10,4,6,15,8,2,3,7,1,1,17,13,6,1,12,10,3,1,4,1,5,17,5,8,2,1,2,2
129,23,0,0,1,1,0,0,0,1,4,4,4,2,26,4,1,5,2,2,1,4,17,1,16,1,17,3,1,2,1,5,1,2,1,10,4,13,2,9,5,1,10,3,3,1,1,1,3,3,2,30,4,1,5,16,1,9,1,1,9,12,8,4,7,7,7,5,1,16,3,1,13,19,1,2,1,2,15,6,8,2,7,1,10,2,4,3,2,2,2,5,2,1,2,1,5,1,7,5,5,11,3,1,8,5,1,3,2,5
134,23,0,0,1,1,0,0,0,1,2,1,5,1,1,1,11,5,1,1,3,2,2,6,1,4,1,8,28,1,23,12,27,1,1,1,6,1,23,4,1,5,13,1,1,1,14,6,14,2,13,1,4,7,8,2,4,1,8,2,1,2,2,1,1,4,6,1,5,8,2,1,5,1,1,2,4,1,18,1,9,2,9,1,6,8,2,15,6,6,12,3,3,1,1,1,1,1,2,7,9,5,1,12,1,4,10,2,1,1
137,23,0,0,1,1,1,0,0,1,1,4,1,2,1,1,1,2,1,1,5,11,1,11,1,19,4,11,3,2,3,25,1,19,6,1,6,5,1,2,1,2,2,13,4,12,2,4,2,1,18,4,1,3,21,10,31,3,3,9,8,1,2,1,3,3,19,2,4,1,1,4,1,11,1,2,20,4,5,2,12,28,14,1,1,1,1,1,1,2,1,6,13,6,1,7,21,11,1,2,1,4,16,10,9,5,4,6,23,6
160,23,0,0,1,1,0,0,0,1,1,2,9,20,1,1,33,2,2,2,2,1,2,1,1,5,9,2,1,3,1,13,3,1,1,18,2,4,15,4,1,24,2,7,1,3,3,15,3,9,1,3,1,3,9,6,4,1,3,3,1,1,1,1,5,1,1,2,1,7,1,4,1,2,1,1,7,1,2,23,1,1,20,23,1,11,1,3,1,4,14,1,1,3,4,1,1,2,1,1,1,18,18,1,12,1,2,1,29,14
177,23,0,0,1,1,1,0,0,1,4,3,1,18,6,4,1,1,4,1,9,1,1,3,28,1,4,9,5,2,1,7,3,10,9,7,1,8,5,10,3,1,7,1,13,3,7,3,2,3,1,5,5,6,4,1,15,13,5,5,23,2,1,16,6,4,2,1,1,3,3,14,1,7,9,13,17,5,1,1,3,1,1,1,3,2,2,1,1,3,2,1,4,11,1,8,1,1,6,8,1,3,2,1,1,13,5,1,1,1
216,23,0,0,1,1,1,0,0,1,9,2,1,1,6,4,2,1,21,4,4,1,3,5,2,11,2,10,1,1,4,1,1,1,1,5,3,15,1,1,7,8,1,6,12,5,31,17,8,14,3,1,3,1,23,10,11,3,11,1,17,1,7,1,1,26,15,3,5,1,5,2,3,11,2,1,3,6,3,2,3,4,1,1,1,5,1,9,2,2,2,5,7,4,17,1,8,7,5,10,17,10,1,2,8,3,1,12,2,4
