"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13,23,0,0,1,1,0,0,0,1,1,3,2,1,7,7,1,1,5,2,1,8,11,15,1,1,20,1,3,1,1,6,2,1,3,3,1,6,4,3,7,1,1,3,3,2,1,1,9,29,19,1,2,4,3,14,1,9,1,2,1,1,2,4,16,5,4,11,4,2,1,2,2,1,3,4,1,1,1,5,2,14,1,1,4,1,5,6,15,5,1,4,1,3,4,6,3,4,12,3,1,2,5,2,2,15,13,7,2,3
19,23,0,0,1,1,0,0,0,1,5,13,3,5,1,16,9,4,2,6,1,2,25,1,5,1,6,5,1,2,2,1,2,2,2,1,31,1,7,14,1,29,7,27,27,3,13,1,1,9,4,8,2,1,1,1,2,7,4,1,1,6,1,2,1,2,11,1,1,1,3,5,1,1,1,6,3,4,4,4,2,1,7,5,2,1,4,6,13,3,1,2,10,7,2,11,3,1,4,2,1,4,2,17,1,18,1,2,6,1
45,23,0,0,1,1,1,0,0,1,7,1,4,1,2,1,9,1,14,3,2,8,6,2,1,11,2,2,1,1,19,2,23,2,4,3,7,5,6,6,2,6,1,2,3,1,1,14,1,2,6,1,7,3,1,11,1,1,2,1,1,10,1,6,7,7,2,5,1,2,4,5,20,1,1,7,1,5,1,13,1,2,11,1,5,2,1,2,1,2,2,1,18,14,1,12,1,15,10,1,31,2,1,3,2,16,17,10,13,1
54,23,0,0,1,1,0,0,0,1,4,2,15,1,11,1,1,2,3,5,18,1,4,1,10,5,6,3,9,5,1,4,1,8,9,2,2,3,2,5,2,13,2,6,5,2,2,1,1,1,3,20,2,11,6,1,1,1,1,1,16,1,1,1,1,7,6,20,1,32,4,1,2,2,1,2,2,1,10,10,1,1,3,3,5,5,1,2,2,1,10,2,1,2,7,17,31,5,1,1,31,1,1,5,1,2,2,1,11,1
93,23,0,0,1,1,1,0,0,1,4,9,1,1,29,14,1,1,1,1,12,1,3,6,10,6,1,26,1,17,2,8,25,1,4,10,2,5,4,1,1,10,6,13,17,3,10,3,10,1,1,2,17,3,5,16,1,1,19,2,1,1,13,12,6,2,5,1,5,22,1,3,8,8,18,12,1,7,6,4,1,3,9,19,7,4,2,13,8,3,1,9,4,3,2,9,1,12,4,5,1,1,1,17,4,16,4,2,26,1
123,23,0,0,1,1,1,0,0,1,14,1,3,7,1,3,10,2,5,2,7,1,1,4,1,2,1,5,1,7,5,9,3,12,5,1,1,32,13,4,3,2,1,2,1,2,11,4,3,14,2,1,7,2,8,4,4,1,7,9,7,3,3,26,5,1,26,2,21,2,5,9,4,5,6,1,9,1,1,2,1,1,12,2,4,1,1,1,4,3,9,1,16,2,4,4,2,1,9,3,10,1,1,1,5,1,1,1,1,1
129,23,0,0,1,1,0,0,0,1,13,2,6,16,3,1,1,33,1,1,10,2,21,14,4,11,3,7,3,2,17,5,10,1,4,2,5,3,4,5,17,1,24,3,1,1,5,1,10,4,7,1,1,1,1,2,1,1,1,1,1,9,1,7,2,2,4,1,2,26,1,5,13,3,23,4,5,16,3,1,1,7,8,3,1,3,1,2,1,1,2,20,2,7,4,5,1,4,10,1,1,11,7,22,6,5,3,2,7,1
130,23,0,0,1,1,1,0,0,1,1,1,2,3,2,5,14,1,8,4,10,1,11,1,4,3,1,16,14,28,5,2,1,1,22,1,6,8,7,1,19,1,2,22,7,8,1,2,1,1,7,6,2,3,2,15,1,2,3,1,2,7,1,1,1,4,4,1,17,2,7,1,11,5,2,1,2,4,1,2,1,6,10,4,9,1,4,4,30,1,1,15,4,7,1,1,3,1,2,2,5,1,5,4,8,8,16,1,12,1
139,23,0,0,1,1,0,0,0,1,14,2,3,16,1,1,1,1,3,8,8,1,13,12,4,2,4,1,1,5,1,15,7,29,7,1,2,2,9,2,4,3,4,1,1,21,7,6,9,1,1,15,1,5,1,2,23,1,2,5,1,5,4,28,5,1,4,3,2,1,3,1,4,2,9,1,6,8,1,1,33,8,30,4,1,1,5,1,1,25,2,6,1,3,6,1,6,11,1,3,1,2,22,2,8,1,3,9,1,1
167,23,0,0,1,1,1,0,0,1,2,8,6,2,5,2,15,6,1,1,11,2,1,1,5,2,2,1,2,8,2,1,13,1,1,14,3,4,3,1,1,9,3,1,3,3,1,1,1,19,1,1,5,4,6,2,3,1,1,2,16,1,11,4,2,6,1,19,3,1,1,9,1,7,6,3,3,9,3,14,7,28,1,11,1,6,1,12,2,23,30,4,3,1,8,2,1,2,1,3,10,1,16,1,8,7,13,2,1,1
244,23,0,0,1,1,0,0,0,1,2,7,15,2,2,2,1,17,1,19,23,1,2,2,6,1,24,1,6,14,7,1,4,1,2,28,2,2,1,11,2,2,1,8,8,2,3,2,3,3,2,4,6,5,27,16,4,13,11,1,1,29,1,5,3,4,16,16,2,1,1,1,33,3,6,2,8,25,1,2,13,1,1,5,1,1,3,1,1,3,3,1,1,2,9,2,1,22,2,26,7,1,2,2,4,6,1,1,1,30
246,23,0,0,1,1,0,0,0,1,8,13,1,2,10,13,17,3,25,2,1,2,10,5,6,1,1,5,1,2,17,24,13,10,1,1,5,4,25,2,1,4,16,1,13,4,6,4,1,6,1,2,1,1,4,6,1,6,1,1,2,6,1,1,2,5,1,15,1,4,2,17,5,7,1,1,5,1,23,2,1,8,14,1,5,21,1,3,1,1,8,27,13,1,3,4,2,1,4,1,1,6,2,1,1,1,3,2,1,1
279,23,0,0,1,1,0,0,0,1,6,11,1,2,4,10,2,2,11,10,8,1,1,15,3,4,2,15,5,1,29,9,26,1,22,4,1,5,2,2,14,3,1,2,2,29,1,1,2,1,2,1,7,1,8,8,5,9,6,2,6,3,1,7,1,1,15,7,2,2,2,4,25,14,11,3,1,5,1,4,24,1,14,10,2,1,1,6,1,1,1,1,8,1,1,1,1,16,17,3,2,12,1,1,9,1,1,1,21,8
290,23,0,0,1,1,0,0,0,1,1,1,19,1,3,17,3,2,2,1,3,5,21,10,11,10,4,1,1,7,4,2,7,8,1,3,7,7,20,1,2,20,2,10,2,2,3,7,4,1,1,2,17,9,1,1,2,1,2,1,1,1,1,5,1,19,2,2,9,2,1,2,7,4,4,7,2,1,2,4,1,1,12,2,12,6,3,10,33,1,2,1,13,6,3,14,2,1,1,1,4,1,3,1,1,3,6,1,2,3
336,23,0,0,1,1,1,0,0,1,1,1,1,1,3,1,1,3,1,1,3,20,1,1,2,1,1,2,2,11,1,3,3,29,10,1,1,4,10,13,8,5,7,2,1,6,4,9,1,4,5,1,1,13,4,9,2,2,1,8,1,1,1,1,16,1,1,2,20,8,1,2,12,5,10,2,8,3,9,3,12,6,27,4,10,11,19,3,2,14,2,5,1,1,3,12,5,1,1,1,1,1,1,1,2,10,1,2,1,1
