"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
297,23,0,0,1,1,1,0,0,1,3,5,6,5,3,2,4,1,1,18,7,13,10,1,1,3,1,1,9,3,2,4,1,11,1,26,8,10,2,7,1,5,1,15,1,4,1,29,2,12,3,8,1,1,1,1,5,2,10,14,2,1,1,4,6,1,2,3,1,3,2,2,1,2,1,14,3,9,1,6,1,3,1,14,5,15,3,4,1,2,7,20,4,4,2,2,3,1,11,2,4,13,1,1,4,17,14,9,1,1
328,23,0,0,1,1,0,0,0,1,1,1,19,11,10,1,6,17,3,1,13,5,7,3,5,3,2,3,1,18,4,5,20,1,5,13,12,1,3,6,6,1,1,1,7,14,1,6,1,17,1,5,4,22,6,1,1,18,13,3,1,2,1,2,4,5,5,8,2,5,3,7,2,1,3,9,17,6,1,31,8,1,26,3,7,1,14,1,4,11,5,1,1,1,2,2,5,12,1,16,1,1,1,1,2,2,3,5,11,6
334,23,0,0,1,1,1,0,0,1,1,22,12,1,3,1,2,1,2,1,6,8,7,24,1,21,8,4,1,24,21,25,3,1,1,1,1,4,3,25,2,5,14,1,1,15,4,7,1,13,23,1,1,1,3,2,2,3,1,3,1,3,1,7,2,2,1,1,19,2,17,1,6,1,8,6,1,1,5,1,3,5,1,10,8,2,3,8,1,1,2,1,1,4,10,4,19,14,4,24,1,12,1,23,28,1,1,3,2,2
363,23,0,0,1,1,1,0,0,1,16,2,4,27,26,1,1,10,1,20,5,8,1,1,1,6,2,1,3,2,6,3,1,7,6,7,1,1,11,2,9,8,4,8,11,3,2,17,1,2,10,3,1,1,10,3,11,5,1,1,1,1,4,1,1,10,1,3,4,23,1,13,3,7,4,9,5,12,2,1,1,2,6,3,8,12,2,3,1,1,1,11,8,1,1,15,1,1,3,22,2,15,1,1,2,1,1,19,1,2
377,23,0,0,1,1,0,0,0,1,1,1,11,6,9,1,1,3,2,1,3,3,1,3,12,4,3,4,3,1,13,1,4,1,6,6,11,1,2,2,4,11,9,9,3,1,3,4,10,16,2,3,24,15,1,8,4,10,4,1,7,3,6,3,27,23,1,3,10,2,1,1,14,5,2,1,2,12,1,3,1,6,7,18,1,1,4,3,1,1,3,30,6,1,1,1,1,2,6,18,2,4,1,1,2,1,2,2,5,14
389,23,0,0,1,1,1,0,0,1,8,2,4,1,31,1,1,3,27,1,19,2,1,1,16,2,14,3,1,6,10,3,9,1,10,1,30,1,1,1,3,2,17,1,1,1,9,3,6,7,5,1,14,24,2,4,20,3,2,24,3,2,1,1,1,1,10,24,3,3,1,14,3,2,1,8,9,3,2,9,2,1,9,17,2,16,1,1,1,4,4,7,23,3,20,9,4,1,4,1,1,1,20,1,1,1,4,1,2,2
394,23,0,0,1,1,0,0,0,1,1,2,1,4,1,9,17,14,8,16,1,14,1,2,1,8,4,1,19,5,1,3,14,3,9,2,3,2,2,3,6,6,20,4,12,2,3,1,1,2,12,2,1,13,17,3,20,2,2,2,2,3,3,1,10,15,2,14,1,5,2,1,1,2,13,10,1,5,3,2,3,18,1,2,9,1,7,4,5,2,5,3,1,1,1,2,1,1,2,1,3,13,1,7,1,9,2,1,8,4
439,23,0,0,1,1,0,0,0,1,2,8,11,1,1,1,1,1,5,1,33,2,11,2,1,2,6,2,2,1,1,13,6,10,1,1,21,1,2,1,4,1,5,6,1,1,12,1,1,7,2,1,2,5,10,17,3,16,3,5,2,7,1,11,5,1,6,1,1,4,1,8,2,11,3,1,31,2,2,1,11,10,1,1,6,15,3,27,1,1,3,8,3,9,1,3,8,9,6,2,3,1,3,2,6,4,2,1,1,1
451,23,0,0,1,1,1,0,0,1,1,1,1,6,15,1,8,1,1,3,11,3,5,1,7,4,1,1,5,3,5,1,8,2,2,7,1,15,5,3,2,6,2,12,11,1,4,3,2,8,14,7,1,7,11,2,7,3,15,13,1,20,1,11,9,2,15,2,6,1,2,1,1,7,4,15,1,1,1,4,1,9,3,5,15,3,7,1,2,5,2,3,9,1,13,10,2,2,1,10,13,4,1,2,2,1,5,12,1,4
489,23,0,0,1,1,0,0,0,1,8,15,18,14,3,17,1,1,3,3,2,14,3,1,2,1,1,4,8,2,3,25,13,11,2,2,1,13,2,13,12,5,1,2,1,1,2,6,7,10,5,2,3,21,17,5,3,12,8,1,2,6,1,13,1,1,6,4,1,1,1,12,25,21,8,1,7,7,1,1,5,7,1,22,7,9,2,1,2,2,18,1,9,2,3,1,2,5,5,2,7,1,1,2,23,4,1,6,4,8
495,23,0,0,1,1,1,0,0,1,1,2,1,2,4,21,1,5,5,5,1,1,2,1,14,1,6,6,1,2,4,1,18,1,1,2,2,1,1,4,1,1,1,2,1,2,10,2,3,11,15,2,4,19,1,1,1,1,6,1,18,12,1,4,2,1,3,1,1,7,13,1,3,2,1,4,14,1,11,2,3,1,22,14,2,3,2,1,5,3,8,16,1,2,2,4,7,6,3,2,1,5,2,13,10,1,3,1,6,12
1,23,0,0,1,1,0,0,0,2,1,11,11,3,1,1,4,25,23,16,4,1,3,2,1,7,2,1,2,16,1,2,2,4,5,1,15,1,1,1,9,1,3,4,15,2,10,8,2,2,8,24,10,11,8,2,1,3,1,1,2,3,3,8,13,3,6,1,12,3,1,3,1,2,24,17,1,1,8,2,10,16,1,1,2,13,1,9,2,1,1,14,6,15,1,1,2,7,1,1,4,5,18,11,7,1,2,11,1,7
34,23,0,0,1,1,1,0,0,2,24,5,1,9,1,1,3,12,1,22,2,1,4,2,11,15,1,25,5,2,33,21,1,1,25,4,1,3,21,2,1,19,1,7,2,9,1,2,3,1,8,1,1,1,11,6,4,1,2,2,1,2,1,9,1,1,4,11,1,3,4,8,2,2,15,7,3,1,14,23,1,4,1,2,5,21,10,1,8,2,1,1,3,1,14,2,1,21,31,1,1,10,16,1,1,1,2,1,2,2
43,23,0,0,1,1,1,0,0,2,6,2,3,3,2,1,3,4,1,10,1,4,9,3,4,1,3,1,1,1,4,4,1,4,16,5,1,6,11,1,1,2,12,4,18,1,2,4,1,2,12,3,12,4,4,6,3,5,22,3,2,10,7,4,13,3,3,5,1,1,6,2,9,3,10,1,17,2,2,1,2,1,10,4,2,11,16,2,1,4,26,4,9,1,7,1,5,1,2,1,10,6,2,10,1,3,1,1,4,19
78,23,0,0,1,1,0,0,0,2,4,2,16,3,5,4,9,26,1,9,1,1,1,1,23,1,1,15,3,1,9,20,1,7,3,14,3,1,1,2,17,1,9,1,22,1,26,2,1,1,2,14,11,4,3,2,1,4,1,5,1,1,14,6,2,1,3,9,2,33,15,1,19,2,5,12,4,2,4,1,1,1,32,1,1,5,1,17,16,1,1,1,2,6,2,15,3,6,3,16,1,1,6,1,18,1,3,4,1,2
85,23,0,0,1,1,1,0,0,2,6,1,1,1,2,1,3,3,1,5,6,2,1,1,18,2,11,6,2,2,9,2,1,3,12,1,6,29,4,1,10,5,5,1,8,3,13,1,2,3,4,1,9,3,2,5,12,1,21,1,11,1,2,1,4,1,14,13,13,2,1,5,2,8,2,7,1,1,1,1,8,3,5,1,1,1,1,10,8,4,10,17,10,1,2,8,3,5,7,2,5,1,14,3,7,6,8,8,2,2
90,23,0,0,1,1,1,0,0,2,4,6,5,2,11,3,11,1,2,2,2,1,4,2,1,3,3,8,5,23,1,3,2,5,9,5,1,1,1,2,1,1,5,1,1,3,1,2,1,1,12,10,18,32,6,1,4,1,1,1,1,2,4,5,6,11,2,4,14,1,3,3,1,4,12,11,1,1,3,2,3,6,1,4,5,7,1,2,11,6,6,5,1,13,10,18,1,9,1,1,1,20,9,3,1,5,1,22,16,9
92,23,0,0,1,1,0,0,0,2,1,1,5,1,6,1,17,2,21,1,3,5,25,24,3,5,12,7,4,1,11,24,16,2,2,1,4,8,6,25,3,4,2,10,3,3,10,1,17,1,3,1,11,4,1,1,1,5,1,1,2,2,4,9,1,1,2,2,1,5,15,2,8,1,4,12,1,1,5,1,4,7,2,4,5,4,18,5,10,17,13,3,5,1,13,1,23,9,3,3,1,16,1,1,5,10,1,11,25,22
97,23,0,0,1,1,1,0,0,2,6,1,1,3,2,1,2,4,1,2,6,1,1,1,1,1,6,6,3,4,1,3,4,22,17,1,1,8,3,1,18,4,1,1,1,7,1,5,28,9,2,14,1,6,12,1,15,1,6,1,3,16,1,10,16,2,3,4,5,21,1,10,2,1,2,10,4,3,6,2,13,3,6,12,1,15,7,2,7,6,5,3,10,4,4,18,3,2,1,13,1,13,5,4,6,6,16,20,5,9
103,23,0,0,1,1,0,0,0,2,20,2,3,17,11,12,1,10,1,2,10,1,23,13,7,4,1,2,2,6,1,11,1,19,2,2,1,1,1,8,21,1,1,2,3,1,1,5,28,4,2,1,3,2,1,18,1,1,17,7,2,6,1,1,28,1,2,1,2,5,1,8,5,1,1,5,4,5,1,6,29,14,8,1,2,1,10,3,16,1,3,3,5,1,2,1,2,18,7,1,16,1,14,5,16,10,15,5,19,5
135,23,0,0,1,1,0,0,0,2,18,1,3,1,1,1,1,1,1,4,1,19,5,5,2,5,2,1,4,3,5,2,4,26,14,6,1,6,1,12,13,1,7,7,1,4,5,6,31,12,3,4,4,5,9,8,1,1,5,5,2,7,15,5,1,3,15,1,21,6,10,20,2,6,17,1,4,2,1,1,2,12,15,7,2,1,24,6,3,9,10,2,15,3,5,1,1,3,1,5,1,12,7,5,1,11,3,2,1,12
142,23,0,0,1,1,1,0,0,2,2,1,1,3,1,4,3,3,8,1,2,1,1,8,2,13,2,2,4,18,12,19,5,12,19,1,13,9,2,7,5,1,2,9,4,20,6,20,3,3,3,8,1,10,4,1,1,2,2,4,1,5,1,6,3,15,3,2,1,2,13,3,8,7,12,1,2,2,10,11,21,2,8,1,7,10,11,26,10,1,1,1,2,1,13,1,3,2,2,13,3,1,8,11,10,18,3,2,2,2
190,23,0,0,1,1,1,0,0,2,2,1,2,2,2,3,7,1,5,8,1,25,2,2,1,2,18,17,1,1,5,1,1,3,1,1,1,2,1,1,1,1,2,1,4,6,2,1,17,10,3,26,2,1,1,3,14,13,1,1,1,1,19,3,1,12,5,1,5,9,8,2,6,1,1,1,26,3,7,2,1,2,2,17,15,13,18,1,1,1,1,1,2,6,7,8,1,1,3,5,1,4,6,1,1,7,5,4,1,3
199,23,0,0,1,1,1,0,0,2,11,9,1,1,4,19,2,1,1,18,2,1,1,3,4,4,1,18,2,11,1,3,4,3,11,1,2,6,4,13,2,5,17,22,1,1,5,3,1,2,15,7,2,7,1,15,9,8,4,5,13,13,8,4,9,2,11,1,5,13,6,1,24,16,1,1,1,19,2,8,1,13,9,28,3,4,2,9,2,17,8,2,1,3,6,12,12,14,14,1,1,14,15,2,12,1,6,7,1,13
230,23,0,0,1,1,0,0,0,2,4,1,8,13,16,4,1,2,27,17,9,11,1,2,1,7,27,2,5,16,3,4,8,1,13,1,1,1,2,3,21,1,1,2,2,5,7,8,7,2,2,4,4,2,1,2,1,2,3,2,2,1,1,1,1,1,1,7,1,2,2,15,2,2,3,1,2,1,20,4,3,1,1,1,3,17,1,7,2,3,1,2,1,1,27,2,16,2,1,2,2,7,2,17,2,2,3,7,3,1
