"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42,23,0,0,1,1,1,0,0,1,6,1,1,9,14,2,6,7,2,3,18,16,23,1,1,2,1,2,1,2,2,1,10,11,14,4,4,4,4,1,2,15,26,1,18,3,8,1,1,2,2,1,2,8,1,10,1,1,6,3,19,26,16,11,1,12,1,1,2,2,8,2,1,15,1,12,5,1,4,1,4,2,4,1,1,6,1,15,4,1,2,6,2,6,5,5,1,5,7,23,2,5,4,1,22,15,10,8,1,2
69,23,0,0,1,1,0,0,0,1,1,9,11,6,2,1,8,11,2,6,10,9,1,5,1,1,6,2,12,7,2,1,1,4,5,2,1,5,3,1,1,24,10,1,4,1,1,14,2,1,1,2,3,1,1,1,21,24,2,5,1,7,3,3,2,1,20,2,3,2,4,18,12,3,4,2,7,2,2,1,1,1,2,1,2,6,1,1,1,5,1,13,1,5,2,1,1,1,1,1,5,8,6,4,3,3,1,1,2,2
75,11,0,0,1,1,0,0,0,1,5,1,3,6,11,1,6,15,15,5,6,11,2,5,8,4,10,1,1,27,1,3,1,2,3,11,3,22,3,1,8,2,6,4,30,8,3,1,6,8,3,1,12,2,1,1,1,1,12,3,1,2,1,9,6,1,2,1,6,1,3,1,2,1,2,8,3,3,1,5,1,7,1,13,10,4,3,2,2,11,13,5,1,6,14,15,8,1,4,1,8,30,7,1,2,10,1,1,1,1
116,18,0,0,1,1,1,0,0,1,1,14,4,2,1,2,22,1,23,9,1,1,2,7,10,7,1,29,1,1,1,8,5,1,1,3,8,3,1,2,1,7,7,1,2,20,1,2,5,1,2,23,1,1,8,1,1,3,1,3,2,9,1,21,2,24,2,9,27,11,19,7,3,9,3,1,1,2,3,13,1,10,6,1,6,1,20,20,2,1,7,17,1,1,3,4,31,8,3,1,3,10,1,2,2,2,1,10,6,1
129,23,0,0,1,1,0,0,0,1,24,1,1,2,3,19,2,1,1,1,1,2,5,3,1,5,25,2,7,1,17,1,10,5,12,5,16,2,2,5,4,2,1,4,2,7,8,3,1,1,8,17,1,3,3,12,7,1,1,2,8,1,12,2,4,3,1,1,16,2,12,2,13,2,4,2,2,12,7,3,1,2,3,13,2,2,13,1,1,3,4,1,6,1,1,5,4,3,1,1,9,2,3,5,7,2,1,12,16,1
130,9,0,0,1,1,0,0,0,1,6,2,7,3,2,3,4,8,6,14,21,2,4,1,1,1,26,5,2,19,1,1,4,4,12,3,3,6,6,2,14,1,7,9,6,13,2,17,1,5,1,3,11,10,2,1,2,5,1,3,1,12,1,7,1,6,2,1,6,2,14,17,12,20,1,4,1,6,2,7,1,1,10,6,6,1,1,1,17,1,1,2,2,1,2,2,7,6,5,20,1,1,1,3,3,1,5,5,2,13
159,23,0,0,1,1,1,0,0,1,1,1,20,13,4,16,22,17,1,1,20,1,7,3,1,1,1,2,1,24,7,2,19,5,14,5,7,1,15,22,12,16,17,3,3,1,3,26,20,2,1,14,10,11,3,7,11,2,3,2,2,2,9,1,1,1,9,10,1,1,2,1,1,9,27,1,1,15,3,22,2,1,4,2,10,5,5,2,3,21,5,18,2,1,2,2,1,2,3,1,3,24,1,1,1,17,3,2,1,2
194,15,0,0,1,1,0,0,0,1,1,4,14,1,8,1,3,7,8,21,6,5,20,2,23,10,19,1,18,11,1,11,15,1,1,11,9,4,3,2,9,3,1,6,1,3,4,1,3,1,1,4,1,19,1,1,3,11,1,18,4,5,1,4,6,7,4,14,20,1,4,9,2,1,3,3,1,16,2,2,1,2,4,1,11,1,11,15,6,2,4,4,19,13,1,3,13,2,1,14,13,23,8,6,4,2,3,16,23,18
204,23,0,0,1,1,0,0,0,1,3,2,4,14,1,3,1,2,14,34,18,12,1,12,14,1,1,1,1,1,4,2,20,6,8,14,1,1,1,21,1,6,2,3,5,27,8,1,4,16,6,3,3,2,4,5,6,10,4,2,2,1,2,11,2,4,1,1,6,2,30,1,1,1,2,1,14,10,1,6,1,1,8,33,1,5,1,1,21,6,3,1,3,27,4,3,3,1,1,1,2,5,1,10,3,16,1,1,1,4
250,23,0,0,1,1,1,0,0,1,22,1,2,1,1,9,5,10,2,1,4,3,5,3,1,8,15,23,2,8,1,13,5,2,2,5,2,13,4,8,1,8,2,1,5,2,10,15,6,24,1,1,1,3,2,6,1,23,1,4,1,1,13,2,1,2,4,8,1,8,7,13,2,1,3,2,1,2,11,3,19,16,1,1,18,1,17,6,6,7,10,2,9,2,1,1,1,1,1,5,2,1,1,6,1,5,2,2,4,2
265,23,0,0,1,1,0,0,0,1,1,1,1,5,2,2,6,2,9,1,5,7,1,3,30,6,2,4,1,2,10,12,2,5,1,1,4,1,7,2,2,2,3,13,7,6,1,12,1,15,31,2,9,1,11,6,7,1,1,4,4,2,1,16,7,1,2,4,3,1,3,16,6,1,30,3,20,3,6,3,8,3,8,11,1,1,2,8,3,1,1,5,2,1,2,15,2,5,3,12,4,2,3,6,2,4,2,1,28,2
