"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,23,0,0,1,1,1,0,0,1,3,24,4,1,13,1,1,3,1,1,20,10,28,6,12,1,1,2,1,2,1,1,4,4,1,1,5,1,23,4,1,5,1,1,16,10,1,4,7,2,5,1,3,6,2,21,1,2,16,3,4,3,11,2,7,1,2,2,1,2,2,1,16,1,19,1,6,3,4,1,4,1,8,6,6,5,16,1,1,3,9,21,10,5,3,2,2,1,2,6,1,6,5,1,6,1,3,3,1,11
16,23,0,0,1,1,0,0,0,1,8,1,19,6,8,8,3,11,8,2,11,1,2,1,1,4,1,6,1,2,2,3,2,2,2,16,6,1,20,29,2,3,1,22,1,1,1,1,1,3,6,5,1,1,11,5,1,3,17,12,4,13,28,28,1,9,10,2,9,23,23,1,3,1,15,13,6,1,3,1,1,1,6,1,6,20,5,8,1,7,1,1,2,8,7,1,2,1,4,1,8,13,28,1,7,4,1,5,1,3
72,23,0,0,1,1,1,0,0,1,1,1,4,1,5,23,1,2,2,6,1,14,1,3,3,3,4,3,1,9,2,2,11,1,5,28,8,3,5,2,26,3,1,2,9,1,21,1,8,1,12,1,1,15,2,1,12,1,25,2,3,6,3,11,12,10,12,1,3,3,2,3,2,13,1,1,2,2,5,2,1,1,23,20,12,10,2,14,1,23,2,1,3,12,1,4,1,1,2,1,24,2,4,1,1,2,7,1,1,2
78,23,0,0,1,1,1,0,0,1,16,5,1,14,11,1,6,1,1,1,8,7,1,1,12,9,1,1,3,1,2,19,2,5,7,2,1,21,7,10,1,3,1,1,6,5,10,5,2,5,6,1,8,1,4,14,5,8,1,7,4,4,8,1,4,1,1,1,12,1,3,16,1,18,4,2,2,3,3,7,9,1,4,5,3,16,2,1,8,1,1,1,5,15,6,1,1,1,6,2,14,1,14,2,1,23,3,7,3,1
113,23,0,0,1,1,0,0,0,1,14,1,1,2,1,2,1,15,5,1,7,3,1,1,6,3,8,1,5,8,4,1,1,3,16,2,1,2,4,2,1,2,2,10,1,11,5,2,6,1,3,7,1,3,1,1,1,1,1,4,4,6,3,1,7,1,4,16,3,2,4,4,6,2,9,9,1,25,33,6,1,1,4,1,2,7,1,28,7,1,1,1,19,1,15,1,17,2,1,1,1,2,1,17,29,1,1,3,1,3
128,23,0,0,1,1,0,0,0,1,7,7,1,1,16,12,10,32,10,3,4,3,3,3,1,29,2,4,6,1,3,8,3,1,1,12,1,22,3,10,22,21,9,1,2,2,1,1,18,25,3,1,2,2,1,12,1,1,4,15,1,15,11,2,1,1,26,2,1,1,19,2,2,22,2,4,3,7,3,2,1,9,5,5,16,2,1,4,3,14,4,1,1,3,4,17,6,4,3,5,1,23,1,7,1,19,1,1,2,1
129,23,0,0,1,1,0,0,0,1,7,10,3,17,16,3,32,1,3,5,1,3,1,1,4,4,11,14,6,1,6,3,7,10,18,2,3,1,5,7,1,8,1,2,1,6,1,1,5,12,1,1,12,2,2,1,7,2,6,14,2,1,1,9,1,2,1,6,19,4,15,2,4,2,21,4,1,3,8,9,23,24,2,13,10,2,5,8,3,3,1,12,17,6,3,12,2,17,13,1,14,7,1,5,15,8,5,17,15,3
133,23,0,0,1,1,0,0,0,1,8,4,1,3,1,9,2,8,26,1,2,7,2,1,8,5,12,13,17,3,1,14,1,3,2,1,1,2,1,4,32,4,1,1,1,2,8,8,1,1,7,32,16,2,14,3,2,2,16,3,10,4,1,1,1,13,8,2,1,10,5,9,10,3,2,7,8,5,3,1,11,3,10,6,8,25,17,4,24,3,2,2,24,5,1,3,3,1,7,1,4,4,2,1,3,1,4,1,1,1
146,23,0,0,1,1,1,0,0,1,2,1,3,6,15,1,1,16,7,11,1,5,1,1,14,1,5,1,1,12,13,7,3,4,5,1,5,5,1,28,1,9,7,5,1,8,4,1,16,8,1,15,13,1,1,1,1,1,1,8,1,4,18,7,1,7,1,14,8,1,2,2,1,3,1,1,1,24,5,16,7,1,1,3,2,26,2,2,2,2,8,1,16,1,6,6,2,2,3,4,4,9,1,3,10,1,3,1,6,2
183,23,0,0,1,1,0,0,0,1,1,3,4,4,4,1,1,1,5,1,1,1,1,4,1,6,2,1,2,6,2,1,2,15,1,7,1,3,1,18,13,1,2,9,17,1,1,16,1,3,4,12,1,10,4,1,1,4,3,1,1,1,1,4,22,19,4,4,1,1,1,8,1,4,14,1,4,4,10,4,22,2,1,5,1,10,1,17,5,1,5,9,2,2,1,1,1,9,21,24,1,1,2,3,2,10,1,1,1,3
190,23,0,0,1,1,1,0,0,1,1,1,1,16,15,6,2,3,5,1,1,12,2,1,4,1,1,1,4,1,1,19,9,2,6,17,2,14,12,8,8,3,1,1,1,3,1,5,26,8,1,7,3,1,2,2,20,3,3,4,21,1,1,9,22,1,1,2,6,10,9,1,3,3,2,1,2,7,6,2,1,1,4,7,8,1,6,12,7,1,2,21,16,14,3,5,4,15,1,6,21,11,6,2,22,1,4,1,4,1
197,23,0,0,1,1,1,0,0,1,4,15,5,1,3,2,4,7,8,2,2,13,2,5,1,15,24,2,1,1,24,5,1,2,6,2,10,1,1,5,2,3,1,1,1,1,2,15,16,2,4,16,3,18,1,13,13,1,10,14,7,4,1,5,1,2,1,21,1,2,18,2,3,3,2,6,1,3,13,12,3,15,2,4,2,1,9,9,8,1,2,1,1,14,16,4,3,1,2,1,4,4,6,3,6,1,1,3,6,1
