"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,23,0,0,1,1,1,0,0,1,1,2,7,1,19,1,23,1,1,14,1,5,2,1,8,1,13,1,26,12,17,18,5,3,1,11,2,22,5,5,8,1,7,1,7,2,20,15,3,1,13,16,5,7,12,3,11,1,6,7,1,1,11,2,3,4,5,6,1,4,8,6,7,3,5,1,7,4,1,1,4,1,1,1,1,1,5,1,7,1,10,1,1,6,2,1,2,3,5,1,2,9,2,3,2,6,1,1,2,5
6,23,0,0,1,1,0,0,0,1,5,5,6,3,7,9,1,3,13,2,1,3,1,2,5,3,1,1,1,14,2,1,16,1,1,2,1,4,3,30,3,5,1,3,1,18,3,1,4,4,2,13,2,10,3,6,11,3,7,5,3,5,1,3,1,5,18,1,1,2,5,3,13,3,14,4,20,11,1,2,3,1,22,2,10,6,2,18,1,1,1,2,2,3,6,1,11,1,8,14,9,11,6,13,2,1,1,7,10,1
12,23,0,0,1,1,1,0,0,1,4,15,6,1,1,1,1,31,7,19,2,6,5,7,15,1,9,3,2,8,1,4,2,1,8,3,1,1,1,2,4,1,2,16,3,4,6,8,1,3,1,1,14,2,3,14,2,1,15,1,5,7,3,6,1,7,31,1,1,1,1,4,8,1,24,1,4,2,2,4,1,3,1,12,1,2,28,1,2,8,4,4,2,1,7,4,2,3,10,5,17,1,2,1,3,2,11,2,3,4
39,23,0,0,1,1,0,0,0,1,3,2,18,8,1,1,1,16,13,1,12,6,1,1,5,14,3,1,2,1,1,14,2,9,6,4,4,1,4,1,3,3,1,23,1,6,3,1,9,4,8,1,3,2,6,3,1,6,1,25,1,1,17,1,25,7,7,3,12,3,2,1,7,11,1,1,10,9,26,2,2,2,5,4,12,1,2,17,2,2,6,2,5,9,5,1,3,1,6,7,1,1,1,1,17,26,1,2,4,8
59,23,0,0,1,1,1,0,0,1,16,11,1,1,6,1,2,1,1,3,2,27,2,3,1,2,14,1,1,8,12,3,1,1,1,3,23,1,5,22,8,15,15,4,1,1,8,1,2,14,2,4,7,2,1,8,8,4,25,17,20,13,1,21,2,2,1,4,8,5,1,13,1,1,2,1,1,20,3,2,24,7,11,1,8,4,25,9,1,9,7,5,2,5,3,2,1,16,4,20,13,27,1,8,5,1,16,6,1,1
84,23,0,0,1,1,0,0,0,1,1,2,4,1,5,6,1,2,1,1,8,21,4,1,1,7,10,9,2,6,4,1,2,1,5,7,8,1,1,1,3,1,1,1,5,4,1,2,1,8,1,1,3,6,2,4,1,8,5,8,2,1,1,2,11,6,2,2,6,1,1,31,17,9,3,2,2,3,2,3,3,2,1,2,5,18,27,12,23,19,5,13,4,1,14,13,3,4,20,2,1,1,6,1,5,8,5,4,1,1
123,23,0,0,1,1,0,0,0,1,1,12,2,1,1,1,1,2,3,15,7,4,12,2,7,1,1,8,6,14,2,24,2,1,1,1,14,7,7,11,2,12,23,2,21,14,10,1,2,2,1,7,1,5,9,1,2,7,9,12,2,6,3,7,6,1,2,1,3,5,7,13,1,5,15,28,1,1,5,1,9,10,1,1,1,27,1,34,1,2,2,3,1,8,9,22,1,2,19,4,14,1,13,1,7,6,1,1,1,12
147,23,0,0,1,1,0,0,0,1,2,1,23,1,20,2,3,5,24,3,11,9,11,3,20,1,1,13,5,3,6,1,1,2,3,17,14,2,1,1,6,4,2,2,2,5,2,7,1,2,17,3,2,11,2,2,18,2,6,21,1,12,5,1,1,4,1,7,1,14,1,2,11,2,2,7,1,11,20,5,1,1,4,1,1,1,1,1,1,1,2,30,12,1,1,23,2,1,8,1,16,8,2,1,3,1,1,2,7,18
158,23,0,0,1,1,1,0,0,1,5,6,1,2,1,1,4,8,16,2,19,10,2,18,6,1,1,22,5,3,11,2,2,3,5,10,4,1,3,2,1,7,4,7,11,2,1,1,11,10,1,1,6,1,18,2,14,4,11,6,11,2,27,5,1,7,9,2,6,15,1,12,1,3,1,1,2,2,8,1,13,23,1,4,1,3,6,3,5,4,5,2,1,3,6,1,29,1,2,2,3,29,22,1,1,1,22,1,3,1
174,23,0,0,1,1,0,0,0,1,1,5,8,1,1,1,4,2,14,1,18,1,2,2,1,1,5,5,12,2,9,1,9,3,1,16,21,3,7,6,4,2,4,2,1,1,17,1,2,6,9,1,1,7,10,5,1,3,3,5,12,27,2,1,1,2,2,4,3,2,7,5,2,1,1,3,7,8,2,1,3,1,3,4,1,1,2,4,2,1,1,6,12,3,1,1,1,2,1,12,1,3,6,3,5,1,4,5,2,8
