"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
55,23,0,0,1,1,1,0,0,1,4,9,8,1,6,2,6,1,18,15,14,4,2,1,1,20,1,2,4,11,9,7,5,1,2,16,1,1,23,1,3,6,1,12,1,4,9,16,7,2,1,5,1,21,19,2,1,4,16,1,1,2,11,3,1,1,1,1,1,4,4,17,9,2,8,6,4,1,8,22,6,9,1,9,3,1,1,2,1,2,3,12,3,2,5,8,1,1,10,2,1,1,20,10,2,3,1,7,2,1
65,23,0,0,1,1,0,0,0,1,6,1,1,10,3,1,1,11,5,2,10,2,6,5,1,4,3,5,1,3,1,4,7,1,1,2,1,9,5,1,1,1,1,1,1,2,6,6,7,6,8,1,1,2,8,16,24,6,8,6,1,1,11,3,22,1,1,5,3,2,1,1,12,19,26,1,1,7,2,12,1,3,1,1,1,3,4,10,7,1,27,3,2,8,17,28,1,3,1,6,1,1,6,1,5,1,10,1,8,2
72,23,0,0,1,1,1,0,0,1,3,15,2,1,12,1,2,10,13,11,1,3,4,27,1,4,1,6,16,1,8,8,2,1,14,1,16,3,3,14,8,1,1,1,3,1,1,4,3,11,8,1,1,9,7,2,1,32,14,15,1,1,1,7,2,6,4,6,1,15,1,9,3,9,6,8,18,6,1,3,5,4,3,1,3,2,10,2,2,2,1,2,2,1,2,1,1,1,3,9,6,1,3,15,13,2,7,1,1,3
90,3,0,0,1,1,1,0,0,1,9,7,1,26,18,2,4,11,1,2,4,1,21,2,7,4,8,2,7,6,2,5,1,3,2,3,1,4,20,2,3,5,1,4,1,8,3,3,1,1,2,3,19,2,1,13,4,2,2,1,15,2,1,1,1,2,1,5,2,10,1,4,2,11,6,1,29,4,11,8,3,21,1,8,5,7,3,2,1,1,15,2,1,9,6,1,2,1,6,6,2,1,4,19,1,3,1,5,4,2
107,23,0,0,1,1,0,0,0,1,1,1,1,2,13,2,3,1,4,1,19,8,7,15,1,3,6,4,1,6,11,12,2,2,1,17,2,1,1,1,3,3,2,10,17,1,6,2,1,1,2,6,2,1,3,1,4,13,8,19,11,4,1,26,2,19,1,6,2,22,10,5,7,1,2,4,1,8,11,1,1,1,7,23,1,3,1,1,5,1,18,13,6,16,11,1,3,1,7,2,20,1,10,1,13,8,1,11,1,1
129,23,0,0,1,1,1,0,0,1,2,5,1,30,3,1,7,6,21,2,4,18,1,6,4,4,10,2,5,12,2,2,3,7,1,1,3,2,1,6,1,1,1,1,2,6,3,10,5,2,3,7,10,1,1,9,10,23,8,10,1,2,1,1,9,4,1,2,1,3,1,1,3,1,1,1,20,2,1,1,3,14,2,4,21,8,4,2,5,4,3,12,1,1,4,23,1,1,1,3,25,3,3,1,2,17,5,1,2,2
134,23,0,0,1,1,1,0,0,1,8,2,6,2,3,1,24,16,7,3,1,5,3,1,1,17,3,1,1,2,1,2,8,2,1,6,6,1,2,2,4,1,3,7,2,6,3,1,2,7,1,4,10,1,1,11,7,2,3,3,10,1,5,3,2,4,30,12,20,17,3,8,4,2,4,1,3,1,7,11,2,2,1,24,2,1,3,6,6,12,2,1,1,1,7,13,1,3,7,1,1,1,1,1,1,7,1,4,7,4
185,23,0,0,1,1,0,0,0,1,1,3,1,1,1,1,6,3,13,7,1,1,6,11,1,6,1,1,1,3,1,10,11,1,1,29,11,7,1,8,4,22,1,4,5,9,4,3,1,1,2,1,14,1,14,1,22,11,4,2,11,21,8,5,16,3,1,4,4,7,13,3,13,1,2,19,1,7,4,4,4,3,5,9,2,12,6,1,2,1,3,1,2,1,24,20,2,1,2,9,2,1,18,5,1,5,17,3,4,5
200,23,0,0,1,1,1,0,0,1,2,1,7,2,1,2,1,4,8,1,9,1,12,1,8,1,1,1,4,1,1,1,1,2,1,1,14,23,5,1,1,8,3,19,3,2,3,2,1,10,1,3,6,2,10,13,2,8,1,1,7,1,1,2,1,2,13,20,4,2,14,10,1,5,1,3,3,3,9,1,8,11,4,11,5,6,30,14,2,1,2,5,5,1,1,1,1,5,5,1,2,9,7,9,3,2,1,8,8,4
256,23,0,0,1,1,0,0,0,1,26,4,5,1,13,1,20,1,1,4,9,13,3,7,1,2,7,1,2,7,1,3,6,6,5,6,3,17,1,1,9,13,7,5,7,14,22,1,2,3,3,6,5,1,2,2,2,5,1,3,1,8,2,2,1,10,1,6,1,9,10,3,7,2,4,2,1,1,6,2,2,1,7,3,1,21,1,1,10,4,1,20,6,4,8,2,18,10,13,2,5,1,4,8,4,10,1,1,4,6
273,23,0,0,1,1,1,0,0,1,1,16,2,6,14,2,2,2,1,7,1,18,5,1,12,2,2,3,7,6,11,1,3,9,11,14,11,5,17,2,3,4,2,12,7,4,6,5,7,13,5,11,1,4,2,33,6,1,1,1,6,1,3,1,2,1,1,1,1,3,2,13,2,2,2,2,1,11,24,23,3,18,6,1,1,2,1,11,1,17,2,14,1,1,13,7,15,1,1,15,5,13,7,19,9,20,10,7,3,1
307,23,0,0,1,1,1,0,0,1,4,6,1,1,2,9,11,17,24,6,3,12,6,1,16,1,20,1,4,1,1,17,1,4,2,3,1,3,8,1,1,13,17,9,5,8,2,1,1,2,1,16,12,11,1,6,6,2,2,6,1,3,1,29,10,2,3,1,3,3,1,1,23,2,19,1,3,4,3,1,11,22,3,2,1,1,1,2,7,2,3,11,9,4,1,5,3,21,1,2,9,11,5,6,4,7,3,4,6,11
308,23,0,0,1,1,0,0,0,1,1,3,2,14,2,2,18,2,10,1,20,3,1,4,7,1,1,1,4,1,4,1,8,11,6,19,31,2,12,16,3,19,1,3,6,14,9,1,29,5,2,2,1,3,1,6,3,1,4,4,8,4,3,1,20,1,1,1,1,5,12,1,1,8,1,1,1,1,2,7,14,9,1,1,1,1,21,4,3,8,9,11,1,4,3,1,1,2,1,4,3,4,3,1,15,16,3,2,6,10
310,23,0,0,1,1,1,0,0,1,1,1,2,5,4,1,1,3,6,1,21,1,6,2,6,1,13,2,1,6,4,6,2,1,11,4,1,1,1,1,9,1,4,7,3,1,3,6,2,7,16,3,1,1,2,1,2,2,3,6,1,7,4,1,1,1,5,3,2,2,1,12,1,9,4,1,7,1,1,3,1,2,1,1,1,29,3,6,24,5,1,1,1,1,4,2,27,2,1,16,3,1,1,1,24,8,5,1,5,9
323,23,0,0,1,1,0,0,0,1,1,2,10,2,1,1,2,1,20,1,32,5,4,1,2,3,1,7,2,4,3,2,4,1,8,4,7,6,5,2,9,1,1,18,1,7,13,9,1,2,1,12,1,1,1,1,1,1,1,23,1,10,8,12,26,13,1,2,1,2,2,6,1,1,2,1,1,5,2,4,4,10,17,1,5,22,1,2,11,13,3,2,8,1,2,1,3,16,1,1,2,10,5,1,16,1,3,7,7,1
328,23,0,0,1,1,0,0,0,1,1,3,3,1,2,2,1,1,1,6,7,1,1,2,2,2,7,1,4,1,3,1,24,1,1,1,17,4,2,7,13,3,5,1,1,6,1,25,2,11,3,13,9,1,1,11,1,8,3,1,7,3,2,4,1,2,31,19,4,2,5,1,12,21,6,4,1,3,11,1,1,1,15,7,6,3,5,25,9,1,8,16,14,5,2,8,7,2,1,1,1,7,6,15,8,9,4,2,9,4
364,23,0,0,1,1,1,0,0,1,1,10,1,19,4,3,6,1,1,1,1,3,1,6,12,7,2,1,15,1,1,3,19,4,10,6,5,1,1,13,1,5,1,4,3,2,2,7,14,4,23,5,1,1,3,1,7,1,8,7,7,1,2,4,4,16,8,1,2,2,3,1,30,2,1,1,7,5,11,3,1,3,12,5,5,2,1,4,12,1,3,16,1,17,4,5,5,19,3,7,11,1,2,4,29,10,7,3,1,4
371,23,0,0,1,1,1,0,0,1,1,1,5,12,2,1,2,17,1,1,1,8,1,1,6,2,1,5,4,2,4,1,3,2,4,9,6,17,8,10,24,1,1,1,4,12,11,7,26,12,11,3,1,30,2,2,1,27,1,12,1,15,11,6,1,6,17,2,4,6,2,5,4,3,2,3,1,5,1,1,3,5,5,3,9,10,1,3,1,1,10,10,1,2,1,1,4,12,4,1,1,2,4,5,9,2,4,2,4,13
