"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,23,0,0,1,1,1,0,0,1,2,12,5,1,1,23,9,7,8,3,1,1,11,1,1,3,9,3,3,1,2,1,1,1,2,1,3,3,13,5,5,3,5,14,2,5,11,2,13,7,2,16,3,2,3,4,9,13,12,4,1,3,3,16,2,25,17,5,9,15,1,3,1,1,2,1,1,1,14,1,3,11,8,1,11,1,1,8,2,14,1,2,2,2,1,1,3,15,8,4,1,4,2,4,22,1,3,1,15,8
22,23,0,0,1,1,1,0,0,1,1,1,9,2,13,1,2,1,4,4,12,10,1,2,3,1,24,9,2,3,5,1,1,2,4,3,1,29,19,2,12,6,1,1,1,1,1,17,1,21,2,2,2,1,4,10,2,1,8,1,9,3,1,2,1,4,2,4,1,11,7,1,3,4,1,9,2,25,4,10,6,2,6,1,1,18,4,2,2,2,10,14,1,16,8,4,1,1,9,11,1,1,1,4,14,16,8,5,3,1
23,23,0,0,1,1,0,0,0,1,9,3,4,2,1,1,3,1,17,1,7,1,12,23,14,1,5,25,6,1,2,9,4,1,2,16,9,1,1,6,7,4,2,3,15,4,1,1,6,13,5,1,1,12,1,10,3,1,5,2,1,9,1,1,3,2,1,6,1,24,3,4,2,6,1,11,10,7,4,17,11,24,1,1,2,8,4,31,1,10,16,9,1,4,5,2,1,4,1,2,1,1,3,2,2,12,18,3,3,2
25,23,0,0,1,1,1,0,0,1,5,3,9,1,2,1,22,16,3,3,1,1,1,1,5,9,10,1,10,21,1,2,1,7,1,23,5,7,17,1,12,2,1,3,4,4,5,7,15,10,1,4,5,1,1,21,3,1,11,14,2,1,1,4,2,8,5,1,30,8,1,1,1,1,4,2,4,2,1,8,3,3,2,2,13,6,1,5,7,13,3,3,1,2,2,2,1,1,2,1,8,1,21,1,2,5,1,1,2,3
33,23,0,0,1,1,0,0,0,1,1,3,1,1,1,2,33,4,8,2,1,2,1,1,5,29,7,1,7,8,1,2,9,1,3,16,2,1,1,4,2,2,1,3,2,17,3,5,2,9,3,1,1,1,1,1,5,2,1,11,1,1,8,1,2,1,2,32,1,4,1,3,8,4,2,8,3,11,2,2,4,16,3,20,4,10,3,1,1,1,4,13,1,1,1,6,15,5,11,30,5,6,4,10,1,2,3,7,7,2
49,23,0,0,1,1,0,0,0,1,12,1,1,1,2,1,1,1,24,1,6,17,1,7,18,25,20,9,2,1,1,16,4,1,6,8,1,2,22,1,2,20,11,2,1,2,5,1,8,1,6,4,1,2,2,8,6,4,17,4,1,1,10,6,1,1,4,1,1,3,1,1,17,1,1,2,2,2,1,8,2,1,7,1,3,13,17,10,10,5,5,8,1,1,5,1,1,4,1,2,4,1,2,2,4,1,1,8,7,8
74,23,0,0,1,1,0,0,0,1,6,1,2,1,4,5,19,6,2,3,13,23,9,21,7,1,13,2,7,4,1,1,6,7,4,3,7,11,11,21,3,9,22,7,4,3,2,3,1,25,6,1,2,5,5,10,3,6,9,2,2,8,13,3,1,25,1,1,4,1,9,11,10,1,8,5,6,6,15,1,11,31,2,2,18,1,19,7,1,3,2,8,7,4,18,4,1,1,6,2,1,5,5,3,4,1,1,2,5,10
94,23,0,0,1,1,1,0,0,1,13,1,18,2,4,10,23,3,2,11,3,1,3,30,3,1,1,1,1,1,4,2,1,8,20,20,2,1,1,1,1,1,2,4,1,23,14,7,2,1,2,8,2,23,2,25,4,14,25,1,2,4,5,1,5,1,1,2,1,1,2,1,1,9,5,5,6,4,14,2,1,9,7,1,1,1,5,6,1,12,1,6,2,6,1,12,2,23,1,7,12,1,1,19,5,1,4,12,11,8
109,23,0,0,1,1,1,0,0,1,2,1,1,1,24,1,1,3,2,1,3,6,2,1,1,6,4,30,3,2,1,2,3,9,1,5,5,1,4,11,10,3,23,16,13,3,3,8,5,2,16,1,1,1,2,1,9,4,7,3,23,3,4,2,6,2,12,2,2,15,7,3,1,18,1,3,1,12,2,1,3,7,2,1,2,12,1,1,7,2,3,2,1,3,5,5,1,7,2,2,3,1,8,1,7,1,3,1,5,3
123,23,0,0,1,1,1,0,0,1,1,3,1,23,1,13,7,10,18,14,2,2,1,1,5,1,3,1,1,2,4,10,2,2,14,2,30,1,1,1,1,14,18,3,6,2,8,6,3,6,1,1,1,1,7,24,2,30,14,8,21,2,16,4,1,3,1,5,5,3,5,1,1,17,2,4,4,10,11,4,9,2,1,1,20,5,2,1,7,1,7,13,1,10,5,1,1,1,17,5,3,3,8,4,1,10,9,5,9,3
