"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,4,0,0,1,1,1,0,0,1,8,2,1,2,1,2,3,4,2,6,2,7,12,3,14,1,2,15,12,4,3,1,2,5,1,1,21,2,2,7,2,3,1,7,2,5,7,2,1,2,7,1,4,18,1,1,1,3,3,14,8,8,2,1,1,6,1,2,18,4,7,7,1,1,8,1,1,7,1,5,12,21,1,1,1,4,15,2,2,17,1,2,1,1,1,1,1,1,20,1,2,13,8,2,1,1,1,6,3,6
10,23,0,0,1,1,0,0,0,1,12,1,1,1,1,7,1,10,1,1,7,30,1,1,4,3,2,18,1,1,1,1,14,1,1,15,1,7,7,1,2,9,3,2,3,9,2,2,6,1,2,2,1,1,1,19,18,5,12,1,16,1,5,4,1,4,1,1,10,3,1,1,2,31,5,1,1,11,1,13,9,29,4,4,4,2,1,16,1,1,1,1,2,3,9,2,4,7,1,1,9,2,1,7,1,3,1,6,2,1
41,23,0,0,1,1,1,0,0,1,1,1,1,14,2,1,2,2,1,2,1,1,1,3,4,1,6,4,2,3,10,6,1,1,1,1,1,10,1,1,1,1,4,1,5,4,12,1,12,13,14,28,1,3,1,2,5,5,15,2,4,3,1,1,3,5,1,2,10,23,16,1,3,1,6,3,1,1,15,1,1,7,3,1,15,1,17,1,1,2,6,10,1,1,2,23,2,1,18,25,1,4,4,4,3,3,8,1,17,10
56,23,0,0,1,1,1,0,0,1,1,11,1,12,2,5,4,1,1,12,1,4,4,1,1,1,1,1,2,3,16,3,3,14,1,19,2,1,2,1,1,1,2,7,2,2,10,5,2,2,5,3,4,2,13,26,1,1,19,1,8,3,3,1,2,2,8,1,1,1,1,7,3,3,1,3,7,3,16,18,1,9,1,10,9,1,5,1,4,1,14,2,20,1,1,1,8,14,3,2,1,8,2,2,3,1,7,4,4,1
110,23,0,0,1,1,0,0,0,1,4,5,6,2,12,5,4,1,1,1,1,3,1,7,1,1,1,7,1,1,2,1,3,1,14,2,1,12,9,5,1,3,12,29,1,3,8,11,1,6,11,3,4,1,1,7,16,11,2,10,2,2,1,1,4,2,9,2,8,4,5,11,1,8,9,8,1,1,7,1,1,6,5,4,2,1,1,20,1,1,1,1,4,6,1,10,1,1,14,2,3,8,1,10,15,3,3,1,2,1
114,23,0,0,1,1,1,0,0,1,2,1,4,1,11,5,3,6,4,1,7,21,5,14,1,4,1,1,2,1,1,1,3,1,1,2,3,6,1,1,1,5,2,2,6,7,3,23,1,2,2,13,4,31,6,4,19,4,8,7,1,13,3,17,1,7,6,3,26,5,9,18,7,2,1,4,6,7,1,4,1,4,13,4,2,5,7,6,13,1,21,2,2,4,1,2,1,1,1,1,4,2,4,2,1,3,1,6,24,4
121,16,0,0,1,1,0,0,0,1,15,6,1,5,1,4,1,10,1,1,1,1,1,9,1,1,1,2,29,2,30,3,11,2,2,7,25,2,1,4,5,1,1,1,1,3,1,3,1,10,18,1,21,11,4,1,2,3,16,2,1,1,6,2,2,6,1,5,22,10,2,10,1,30,2,1,1,4,25,3,2,8,1,19,2,6,10,1,18,1,15,3,6,16,15,21,4,2,2,8,1,1,5,11,19,1,1,1,4,1
176,23,0,0,1,1,0,0,0,1,7,1,1,7,4,6,14,1,1,13,1,5,2,6,1,2,11,4,3,1,1,1,1,3,2,1,1,3,8,27,23,7,3,1,5,5,4,8,1,7,18,20,3,3,6,2,1,17,8,16,14,3,4,6,11,2,2,16,1,3,7,12,2,1,1,1,4,28,7,27,4,1,22,1,11,17,2,12,10,5,2,6,3,1,5,1,2,8,2,1,9,6,4,9,1,4,29,5,16,1
177,23,0,0,1,1,1,0,0,1,2,12,2,2,19,3,15,20,3,1,10,20,3,1,1,6,1,2,10,1,1,1,2,1,2,2,1,8,1,17,2,4,1,2,2,1,1,1,3,1,1,5,5,1,3,2,1,2,2,17,7,2,2,1,20,3,15,1,1,1,1,2,7,21,1,16,15,5,1,4,4,5,5,1,7,5,2,4,5,2,6,14,1,1,5,1,4,2,1,5,3,2,1,21,1,8,1,2,15,1
179,23,0,0,1,1,0,0,0,1,9,3,7,3,1,2,10,17,3,1,18,2,4,3,3,1,5,1,1,1,1,32,9,1,1,9,2,1,2,6,5,4,1,2,8,1,1,1,7,1,4,19,2,2,10,2,8,2,1,6,1,1,8,8,13,2,4,1,1,5,2,2,6,4,1,5,1,4,7,3,6,4,1,6,1,12,5,9,6,1,2,9,1,1,7,2,5,2,3,1,8,1,3,3,5,3,6,5,1,1
197,23,0,0,1,1,0,0,0,1,5,1,1,1,2,1,1,1,1,1,1,1,5,1,8,1,25,1,24,1,1,3,1,1,1,23,1,10,11,2,4,1,1,1,3,1,1,4,1,5,3,2,3,2,2,9,1,5,5,2,35,17,4,2,1,1,1,23,13,28,5,1,2,1,1,11,7,1,13,3,2,4,1,10,3,6,4,9,11,5,19,1,2,10,1,6,8,2,14,15,1,29,1,2,1,1,1,33,1,1
201,23,0,0,1,1,1,0,0,1,1,2,1,1,1,8,7,1,9,1,1,2,3,1,1,3,1,11,2,1,1,7,1,6,1,2,3,11,4,1,7,1,2,1,18,13,18,2,5,3,5,3,5,5,1,1,8,1,25,1,1,5,8,3,1,2,8,12,1,1,2,6,1,6,1,15,3,2,1,1,4,5,2,15,2,1,7,2,2,13,5,4,1,6,1,7,1,1,2,22,26,8,2,24,1,5,6,5,3,2
210,23,0,0,1,1,1,0,0,1,5,8,9,7,1,4,1,17,2,5,20,1,11,32,3,3,11,2,9,1,4,19,8,3,7,1,2,2,1,14,1,3,1,15,1,5,4,15,1,3,4,3,26,10,5,5,4,9,3,1,7,7,12,10,1,10,8,3,16,1,3,9,15,6,4,1,1,5,1,21,16,5,1,4,2,2,1,1,32,21,2,1,3,4,29,4,4,4,1,1,12,2,3,22,3,2,22,1,1,8
218,23,0,0,1,1,0,0,0,1,8,1,2,9,2,2,1,6,11,7,10,1,12,1,1,18,1,2,8,1,1,1,1,1,2,4,5,5,4,3,2,1,6,3,1,17,2,7,31,4,12,1,7,2,1,12,5,9,5,4,1,15,2,1,7,9,15,13,7,3,7,18,3,2,26,4,14,6,3,28,1,5,1,1,1,13,6,1,2,10,1,1,5,2,13,2,1,1,20,14,2,1,3,1,2,1,1,10,1,11
231,23,0,0,1,1,0,0,0,1,1,9,5,15,1,1,9,2,2,7,4,2,1,1,1,3,6,2,6,9,6,1,2,18,1,5,1,1,8,1,5,1,10,1,1,1,14,2,5,4,4,2,1,1,3,1,7,1,17,4,12,14,1,5,12,5,5,2,4,3,1,1,1,5,1,2,2,4,1,2,1,18,6,2,2,1,1,9,14,1,10,12,4,4,1,1,2,1,7,2,14,1,1,10,20,2,1,2,1,2
242,23,0,0,1,1,0,0,0,1,5,1,1,2,1,1,14,3,1,2,1,4,1,1,1,6,1,1,1,2,18,2,6,6,5,3,4,1,2,3,2,5,10,6,1,4,15,1,2,1,13,12,1,13,13,7,2,9,5,12,5,13,12,3,4,14,1,1,19,1,1,7,3,2,6,1,4,12,1,30,14,1,2,2,4,1,32,3,9,22,13,7,5,9,3,1,1,2,2,2,1,14,12,14,1,1,25,10,2,1
339,23,0,0,1,1,0,0,0,1,1,21,6,2,1,3,9,29,17,4,7,2,2,27,1,1,27,16,2,5,4,3,5,2,1,4,1,4,22,2,18,16,15,9,4,1,2,3,3,1,9,5,3,12,1,1,5,1,1,3,1,1,8,1,6,22,1,2,6,1,12,1,6,1,1,1,1,8,2,1,6,24,3,2,4,1,7,6,1,8,4,5,1,24,1,1,3,3,2,1,2,12,9,6,2,8,4,2,6,18
391,23,0,0,1,1,1,0,0,1,1,5,2,1,1,4,1,2,12,4,7,14,7,1,1,13,1,3,3,8,1,3,5,1,3,12,1,6,14,10,7,22,7,1,2,10,1,1,18,1,4,9,2,1,1,8,5,23,2,5,5,1,1,1,19,2,1,2,1,6,6,4,2,20,1,7,2,4,10,6,1,23,4,16,4,3,2,1,13,1,9,28,3,1,25,1,1,6,7,1,1,21,1,1,1,7,14,1,2,2
406,23,0,0,1,1,1,0,0,1,1,1,1,3,24,1,9,2,1,6,1,3,3,1,14,3,1,19,2,3,1,11,7,1,9,1,2,1,1,5,1,9,10,7,3,1,7,11,4,1,1,6,22,5,3,16,1,1,1,8,1,2,6,1,2,9,2,23,2,1,1,5,3,2,6,4,1,6,2,1,7,6,2,17,7,13,10,2,2,4,4,14,9,15,1,14,3,1,3,3,2,3,30,3,13,6,2,14,5,1
411,23,0,0,1,1,1,0,0,1,1,3,14,7,8,11,8,28,28,3,18,1,24,13,5,9,1,4,4,4,1,3,3,1,24,1,21,3,1,5,1,1,5,2,1,2,9,1,10,1,3,1,1,3,1,1,14,1,24,2,1,3,1,2,2,1,1,9,4,6,3,1,2,1,7,1,10,3,1,2,1,1,1,5,4,12,17,3,1,5,1,2,1,1,2,1,1,14,27,17,1,2,3,1,15,1,3,3,2,4
452,23,0,0,1,1,1,0,0,1,2,4,3,4,1,3,1,4,1,8,1,5,7,6,1,19,1,3,4,2,1,3,2,3,1,3,1,7,6,1,26,5,13,8,2,26,6,11,10,4,2,1,23,2,6,23,2,2,1,1,4,14,2,1,3,1,1,4,6,22,5,1,7,16,7,27,18,5,2,1,3,28,2,1,4,2,2,1,4,5,4,12,3,7,11,1,1,1,1,1,9,14,3,3,6,5,3,7,6,1
464,23,0,0,1,1,1,0,0,1,3,6,5,6,5,3,12,11,5,1,3,1,13,1,2,7,1,17,1,5,2,2,1,5,1,1,6,5,3,1,15,11,3,1,3,5,23,2,11,1,3,6,1,5,4,3,2,8,10,7,1,19,6,1,2,21,17,5,4,1,12,9,1,8,4,6,17,1,1,1,16,3,6,10,8,6,3,2,1,2,28,1,1,9,14,1,1,8,1,5,1,25,1,2,1,2,4,5,1,1
469,23,0,0,1,1,0,0,0,1,9,1,1,21,9,10,1,1,3,5,11,12,4,14,8,1,21,16,2,1,2,5,7,3,1,1,2,11,1,2,15,1,1,1,5,2,1,1,1,1,1,2,1,4,2,1,9,2,1,3,2,3,1,2,2,4,6,4,6,21,2,2,9,9,1,2,2,2,7,2,4,8,2,4,4,1,2,3,4,13,24,1,1,14,30,1,5,11,2,2,1,1,3,7,3,5,1,6,31,5
