"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,23,0,0,1,1,1,0,0,1,5,2,8,13,6,1,6,1,1,31,1,8,2,3,2,3,1,9,1,3,2,1,1,1,1,1,1,9,2,1,3,2,1,2,1,1,1,7,12,13,11,13,18,4,2,1,13,17,4,9,2,1,2,7,1,1,3,7,1,2,3,2,1,23,2,1,1,4,1,1,6,2,1,1,2,16,1,6,2,1,1,25,18,2,1,2,4,4,2,2,15,2,8,7,4,2,2,2,27,1
28,23,0,0,1,1,0,0,0,1,7,1,5,25,6,2,2,1,5,27,3,10,9,2,21,22,4,1,24,2,3,1,1,1,3,1,1,4,1,3,1,1,3,8,24,3,7,5,10,1,2,6,1,21,9,2,3,2,1,28,9,2,2,8,6,18,7,4,1,18,2,2,1,1,2,22,4,1,1,18,6,1,2,3,3,1,1,12,1,7,1,4,2,21,1,2,1,3,4,2,11,7,7,8,3,4,8,16,2,1
52,8,0,0,1,1,1,0,0,1,1,9,21,3,1,9,8,2,1,2,11,4,13,16,1,1,4,13,5,12,10,25,9,3,1,2,2,2,8,1,9,2,2,10,1,6,1,2,3,1,3,6,19,1,3,4,3,1,1,3,10,1,3,1,22,1,10,33,18,2,1,1,6,1,2,16,1,2,7,7,1,2,2,10,1,11,3,5,1,17,4,4,8,1,6,15,4,1,1,3,1,2,2,1,6,2,2,2,1,1
69,23,0,0,1,1,0,0,0,1,7,1,5,3,1,2,27,7,13,12,30,3,2,3,29,14,16,5,2,1,1,26,6,1,1,5,2,6,1,1,12,8,22,3,5,1,1,5,1,4,9,3,8,1,5,1,13,3,6,14,8,9,2,1,1,2,1,2,2,7,16,1,1,3,1,1,15,1,1,1,20,1,14,3,5,1,2,1,1,2,7,4,16,1,1,1,1,1,4,1,11,1,2,5,5,7,4,1,1,1
76,1,0,0,1,1,0,0,0,1,4,1,1,13,2,4,28,2,1,1,13,2,6,2,6,1,15,1,20,5,27,5,1,1,10,2,1,8,1,4,8,5,5,4,2,10,9,6,1,1,5,21,3,4,1,1,4,12,7,1,1,1,1,7,12,7,5,10,1,6,1,1,1,1,1,3,17,4,1,8,2,9,3,2,11,1,7,1,6,1,1,24,26,2,1,1,8,9,2,5,2,1,17,2,11,3,2,1,1,1
96,23,0,0,1,1,0,0,0,1,5,18,3,1,2,7,1,6,6,8,1,9,9,2,1,4,5,2,9,10,4,1,15,4,2,3,8,1,1,5,5,5,5,5,1,1,22,5,6,3,14,29,2,1,1,1,5,1,1,12,2,1,2,1,4,1,5,7,1,1,2,1,12,2,1,5,1,5,2,1,14,1,1,5,1,1,1,8,19,3,7,4,6,2,2,28,1,4,11,22,7,1,6,2,1,1,8,2,2,4
108,9,0,0,1,1,1,0,0,1,2,1,14,1,1,14,4,2,1,13,1,5,7,2,2,1,2,2,1,15,20,1,10,1,14,4,15,4,7,1,2,1,12,2,11,1,2,13,1,1,16,11,1,1,14,5,5,26,1,13,2,2,23,4,13,13,16,2,4,3,2,16,8,1,10,4,10,2,2,1,2,1,4,12,1,7,2,20,5,12,18,4,2,6,7,5,1,12,9,13,3,24,2,12,10,2,1,1,1,1
118,23,0,0,1,1,1,0,0,1,1,2,6,2,1,1,1,28,1,15,1,12,10,1,4,4,1,1,5,1,6,2,22,16,2,1,1,5,28,2,10,1,3,7,5,1,7,2,5,1,2,2,8,2,1,5,6,6,2,1,1,23,1,17,2,15,1,4,1,1,1,2,2,17,2,3,11,2,1,2,7,3,1,4,7,4,3,5,10,1,4,8,1,1,1,2,1,1,1,4,9,1,3,3,1,19,2,1,10,1
132,23,0,0,1,1,0,0,0,1,6,8,11,1,9,2,24,1,7,7,1,1,4,7,3,4,1,7,1,5,1,4,4,6,2,3,11,8,3,2,1,13,1,15,7,2,1,1,2,1,1,1,5,1,1,1,1,3,23,12,1,9,3,4,11,2,1,2,4,1,2,3,10,1,1,1,10,1,5,1,15,2,1,7,1,4,1,3,2,5,2,4,9,13,1,6,7,1,4,2,1,2,1,1,12,8,25,8,1,3
158,23,0,0,1,1,0,0,0,1,7,6,5,1,13,1,2,12,4,13,1,1,1,2,4,1,1,1,1,6,1,31,1,3,1,1,1,12,7,29,16,15,2,1,1,3,9,4,1,5,2,6,8,7,1,9,6,5,1,2,14,5,1,1,5,1,3,3,15,8,1,2,6,1,5,4,1,2,2,1,5,7,4,3,1,8,1,1,2,1,1,10,2,4,3,6,1,1,22,1,3,9,2,1,3,1,1,1,4,2
208,23,0,0,1,1,1,0,0,1,4,12,19,20,5,6,10,4,4,14,11,1,1,2,1,1,2,1,4,1,2,5,2,1,2,4,1,5,9,9,1,12,3,1,26,3,1,8,19,1,1,4,1,3,30,1,3,13,2,3,2,1,10,8,2,16,5,2,1,3,3,25,5,2,3,3,3,3,2,7,1,3,2,8,9,1,3,7,1,2,5,1,1,1,2,11,18,5,1,2,2,5,5,4,5,1,11,14,13,3
212,1,0,0,1,1,0,0,0,1,7,3,13,1,13,5,2,1,1,1,18,6,5,10,2,9,1,3,1,1,6,7,7,1,8,3,2,22,1,4,2,1,17,1,7,1,1,4,9,2,7,1,25,18,2,8,1,1,1,3,1,8,9,4,2,4,8,1,5,4,2,27,6,9,12,2,5,5,2,15,2,9,2,1,2,2,6,10,1,5,25,10,1,1,18,3,7,4,6,1,3,3,11,4,17,5,1,1,2,2
263,1,0,0,1,1,1,0,0,1,3,1,6,9,2,19,1,1,13,21,2,3,11,1,2,6,1,9,1,5,2,7,6,1,2,4,19,8,11,5,16,4,1,2,2,8,3,4,1,3,3,4,1,2,3,18,3,6,1,1,1,1,5,3,1,8,8,1,6,4,2,14,1,1,7,1,1,3,1,1,16,13,13,1,1,23,10,1,1,33,6,2,1,4,1,2,20,6,6,1,5,6,5,2,1,32,2,2,1,1
308,16,0,0,1,1,0,0,0,1,1,1,2,5,1,14,7,9,28,5,1,10,2,6,7,14,3,4,1,2,1,3,1,16,8,1,1,1,1,4,1,13,11,1,8,1,2,6,2,1,5,1,1,24,2,1,9,10,5,11,2,1,5,8,3,1,3,1,9,1,5,8,3,12,4,2,31,1,2,13,6,5,17,3,2,2,1,4,1,1,1,7,3,7,4,6,2,1,17,1,6,1,2,1,13,16,15,5,11,2
380,23,0,0,1,1,0,0,0,1,4,1,6,5,8,1,1,11,9,3,18,2,1,1,1,4,5,1,1,1,2,2,3,4,3,2,18,4,1,3,11,1,9,2,21,16,2,1,5,6,6,5,3,8,2,15,2,4,1,18,10,2,13,3,1,3,9,4,2,3,6,2,1,4,15,1,5,5,1,1,4,1,29,11,1,3,2,3,5,2,1,14,1,1,4,3,3,18,1,34,6,2,3,3,8,4,2,1,3,1
390,23,0,0,1,1,1,0,0,1,1,6,3,2,1,2,1,4,2,1,8,2,5,4,31,2,3,4,3,20,18,4,9,6,1,3,20,4,1,7,6,21,1,18,8,7,11,2,14,2,8,15,2,2,5,7,9,9,9,1,3,1,1,2,9,6,7,1,4,6,1,1,4,6,4,1,4,3,24,5,17,2,3,1,1,1,1,3,1,1,14,1,10,8,1,4,25,12,1,2,1,2,10,6,17,2,1,1,13,1
393,13,0,0,1,1,0,0,0,1,4,1,2,1,2,2,1,9,4,1,1,2,3,19,8,15,1,1,16,4,6,1,9,8,12,2,8,1,2,4,3,1,1,10,1,5,1,1,1,2,1,21,10,21,4,1,4,7,2,4,18,2,3,25,9,10,1,1,1,1,1,2,9,2,25,2,12,6,18,2,14,7,9,2,3,3,3,18,24,1,2,1,1,1,1,1,2,3,5,3,1,1,6,8,1,1,10,9,2,1
403,23,0,0,1,1,1,0,0,1,18,5,15,5,4,2,6,1,2,5,7,1,6,2,2,1,3,5,11,2,1,9,10,2,1,5,25,1,1,1,1,9,4,11,1,6,8,3,1,1,10,12,1,17,13,5,1,14,18,1,2,1,4,6,4,5,1,1,3,8,1,1,1,18,2,1,15,24,1,1,1,4,1,18,4,8,4,4,3,1,2,12,1,1,2,7,4,1,7,1,2,4,1,12,1,5,1,3,22,1
