"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,23,0,0,1,1,1,0,0,1,19,1,6,1,2,1,14,5,4,7,4,4,1,6,1,2,1,1,3,4,2,10,1,1,7,2,11,7,1,1,1,1,3,3,11,3,1,1,13,5,1,8,7,5,2,1,16,6,7,1,1,1,3,18,3,13,12,5,12,1,4,1,8,3,9,4,19,1,4,1,1,2,9,7,3,1,6,10,1,2,10,9,1,1,8,17,21,3,1,1,7,21,1,5,1,1,2,30,6,7
11,23,0,0,1,1,1,0,0,1,1,7,8,2,1,1,5,13,3,1,1,15,1,12,23,4,13,1,1,21,9,1,1,13,7,1,17,8,1,33,3,2,4,8,5,1,1,8,1,2,1,22,3,3,5,6,1,3,2,15,1,3,1,4,16,1,16,1,5,2,4,1,2,1,1,1,1,5,1,9,1,3,2,20,2,1,3,2,5,2,1,2,1,4,1,3,29,1,1,1,3,10,3,12,1,2,1,7,1,24
20,23,0,0,1,1,1,0,0,1,1,1,1,2,4,1,1,12,3,4,4,5,14,3,25,2,1,13,3,1,1,7,27,1,3,1,2,5,2,2,17,14,11,2,6,2,1,1,5,3,1,18,1,4,10,1,6,5,16,3,1,2,7,3,4,7,1,6,1,12,17,4,1,1,2,5,12,2,2,25,6,2,1,1,1,7,2,5,9,13,3,1,1,13,1,9,2,7,2,9,6,1,1,6,6,4,12,2,1,4
21,23,0,0,1,1,1,0,0,1,9,4,1,7,1,6,3,1,1,13,6,2,2,7,3,4,15,18,2,2,4,1,6,13,2,6,4,2,20,7,1,14,5,5,13,10,2,1,6,1,3,2,1,2,19,4,5,1,4,3,3,7,10,1,5,1,1,9,2,1,1,1,1,2,1,1,2,20,5,8,17,18,2,13,11,7,3,2,6,7,2,1,6,6,22,1,2,6,1,24,5,1,3,4,4,7,1,3,1,2
42,23,0,0,1,1,0,0,0,1,5,23,3,15,1,5,4,4,2,7,5,5,1,3,8,5,8,1,1,24,1,1,1,7,5,19,10,2,1,3,1,2,6,4,2,1,14,8,1,1,6,17,2,1,20,23,1,4,3,12,6,22,2,6,3,9,5,14,6,1,10,10,2,8,5,31,7,19,6,2,1,18,14,4,2,1,3,1,1,2,7,1,10,2,2,3,6,2,2,1,4,5,1,4,7,5,3,1,1,2
54,23,0,0,1,1,0,0,0,1,2,3,4,5,4,1,2,7,1,4,8,2,2,2,13,2,1,6,7,6,4,3,12,9,13,2,2,1,1,9,2,21,1,2,9,14,3,8,18,7,14,14,2,5,1,1,4,1,18,1,5,9,1,5,3,1,2,3,3,2,2,9,2,14,9,9,18,21,2,1,21,2,3,4,1,4,1,2,11,14,6,14,1,2,6,1,1,10,4,16,2,1,6,22,1,1,8,3,1,25
56,23,0,0,1,1,1,0,0,1,1,2,1,7,1,11,2,1,2,3,5,4,1,3,9,22,19,10,6,9,1,1,8,2,2,1,5,3,13,13,5,1,1,1,19,1,1,2,4,5,2,1,2,11,4,2,1,1,8,1,2,1,3,1,1,9,2,1,2,25,1,5,2,15,1,21,6,1,2,12,1,5,1,1,29,1,21,15,1,6,3,1,5,1,10,8,2,1,1,1,1,1,1,3,8,10,3,2,9,3
87,23,0,0,1,1,0,0,0,1,1,1,2,10,6,7,2,3,8,2,4,11,24,1,1,2,7,3,1,19,2,10,11,1,17,1,3,4,2,1,1,1,1,3,3,5,4,11,1,1,1,10,13,14,1,7,3,21,2,1,6,2,30,2,1,14,1,5,1,5,1,11,4,11,1,18,17,13,4,9,9,11,2,2,2,5,5,1,4,1,7,3,2,1,1,4,5,2,6,8,1,4,1,4,1,2,2,2,1,3
95,23,0,0,1,1,1,0,0,1,3,1,5,1,3,10,1,1,24,1,22,1,1,19,1,6,17,1,1,25,1,6,17,4,1,2,4,3,2,8,1,9,9,1,1,3,22,1,1,3,9,5,1,3,1,2,6,13,8,2,11,3,3,1,8,1,1,1,12,3,4,1,20,6,1,8,5,1,4,2,3,13,1,2,1,3,27,6,2,23,2,2,2,13,23,2,5,3,1,3,1,24,1,10,4,1,1,3,5,6
99,23,0,0,1,1,0,0,0,1,1,2,1,5,1,1,15,1,1,9,1,4,2,4,10,2,1,1,1,1,2,1,1,1,3,1,1,3,1,14,2,1,7,2,2,1,1,4,1,13,1,2,6,1,2,2,3,1,3,9,4,7,4,2,7,1,8,1,2,1,5,3,2,5,1,17,2,1,13,5,3,2,13,1,11,8,2,2,12,1,12,1,17,10,1,5,2,1,11,7,13,17,1,1,23,20,4,5,2,7
115,23,0,0,1,1,1,0,0,1,1,15,9,9,2,3,6,2,2,2,12,2,15,11,1,5,1,1,12,6,22,4,11,2,1,4,3,17,1,4,4,4,1,1,9,1,5,7,1,1,1,1,15,1,1,2,1,1,5,28,5,5,3,7,2,1,1,2,2,8,32,1,7,5,3,1,2,6,1,1,11,11,5,4,5,12,2,15,1,2,4,4,3,2,4,27,2,7,10,23,22,8,7,4,2,2,4,2,1,1
151,23,0,0,1,1,1,0,0,1,3,1,2,4,1,1,4,1,25,1,2,1,1,1,2,2,1,1,1,1,2,8,1,9,8,3,12,2,9,2,3,5,8,1,1,5,1,1,5,18,7,3,13,1,1,1,4,12,4,1,2,1,24,5,3,3,3,1,11,5,2,6,1,2,2,4,16,25,2,23,2,6,2,22,2,1,1,4,10,1,12,5,7,5,6,1,9,1,12,2,1,2,1,8,1,17,1,1,6,1
