"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,23,0,0,1,1,1,0,0,1,4,2,6,5,4,14,12,3,1,1,1,2,9,1,14,1,10,11,14,8,2,22,1,7,6,1,1,1,5,5,7,5,2,1,7,3,20,11,2,10,13,11,22,2,4,2,2,1,22,3,1,27,10,2,18,1,3,13,1,1,4,1,1,8,1,1,1,3,16,2,8,6,11,1,3,1,3,1,7,4,8,14,1,1,3,3,13,1,2,3,1,3,7,1,3,22,1,1,1,2
33,23,0,0,1,1,0,0,0,1,7,11,1,2,2,9,1,1,3,4,12,5,5,19,4,12,3,8,2,1,6,1,2,11,8,23,2,5,9,15,2,1,1,3,15,3,8,1,2,3,1,2,6,1,13,1,6,16,2,1,20,3,2,1,2,1,1,20,2,10,5,7,3,6,1,12,1,3,1,3,3,2,12,23,1,1,6,21,1,1,11,3,1,19,18,2,1,1,5,1,2,2,12,1,15,3,1,1,11,23
78,23,0,0,1,1,0,0,0,1,6,4,16,11,4,10,21,10,1,32,1,2,18,1,4,5,1,2,1,1,2,6,6,15,1,5,2,13,2,2,17,3,4,1,6,8,10,2,3,1,1,16,2,11,1,13,20,9,1,2,2,1,13,3,3,6,1,3,2,2,2,16,3,6,1,2,2,9,1,3,8,9,1,6,4,2,1,14,6,1,1,16,3,1,1,1,15,2,5,3,4,3,1,3,6,3,9,2,5,2
86,23,0,0,1,1,1,0,0,1,1,11,30,3,1,1,1,9,2,2,1,1,4,4,1,3,2,2,1,2,6,3,4,1,1,2,1,3,2,2,1,3,11,11,2,1,2,1,1,16,11,5,5,1,1,1,9,3,1,4,4,26,5,1,5,4,2,3,2,14,2,9,1,1,10,2,2,6,1,1,1,1,3,16,1,3,8,1,2,1,1,1,11,1,6,3,7,7,20,10,13,1,2,8,14,11,2,1,9,4
91,23,0,0,1,1,1,0,0,1,2,1,2,30,1,1,1,1,1,6,3,17,2,1,3,1,10,17,2,2,4,7,16,29,1,3,1,2,2,1,2,1,5,12,1,1,2,2,1,15,2,1,6,9,1,1,3,9,5,9,2,3,5,3,24,4,11,3,16,1,1,8,16,3,3,2,5,1,1,7,2,2,1,10,11,3,25,3,4,16,1,1,21,9,3,1,1,4,2,1,1,1,4,17,2,5,1,4,3,27
130,23,0,0,1,1,1,0,0,1,13,6,3,1,1,2,2,1,11,1,1,2,9,1,19,3,19,1,5,1,2,1,32,2,1,2,5,10,23,4,8,1,4,7,2,4,2,30,8,1,2,1,5,8,7,5,5,16,4,1,3,5,1,1,1,11,1,3,3,8,4,1,1,1,2,1,1,9,12,7,2,2,3,6,5,15,4,1,2,2,5,21,1,1,7,9,3,10,3,22,4,8,1,1,1,1,3,1,1,1
193,22,0,0,1,1,0,0,0,1,3,24,2,1,26,2,1,14,1,6,2,13,14,11,7,1,1,5,8,1,1,1,21,1,15,2,3,8,2,4,3,2,1,14,2,10,3,1,1,1,6,9,17,27,8,2,1,1,4,2,1,3,15,1,1,23,2,1,21,3,2,1,4,1,2,12,3,3,6,5,12,1,6,13,6,3,3,5,12,6,23,7,1,1,2,11,1,14,1,15,2,2,10,2,15,1,1,6,1,2
259,23,0,0,1,1,1,0,0,1,2,1,6,14,3,3,5,3,1,3,15,11,4,11,1,6,1,5,1,1,1,2,2,29,1,3,1,1,1,2,28,4,3,11,2,1,3,7,3,1,9,2,5,1,6,1,16,1,6,29,2,1,2,21,9,3,4,2,2,15,1,1,2,4,1,6,1,1,3,2,4,6,2,25,8,12,2,1,2,2,22,5,17,6,4,4,1,1,15,3,1,4,2,1,13,6,1,10,6,6
269,23,0,0,1,1,1,0,0,1,4,3,14,10,1,2,5,1,3,2,22,6,4,11,4,7,7,2,1,23,3,3,16,8,1,3,4,5,11,1,2,1,3,2,12,1,27,32,2,2,2,1,1,1,18,3,1,4,3,1,17,1,1,1,2,1,1,10,24,1,21,1,7,7,5,1,5,1,2,27,2,1,33,1,29,1,5,18,10,3,2,2,2,9,2,3,1,3,3,17,2,1,1,6,14,3,1,1,1,5
313,23,0,0,1,1,0,0,0,1,5,14,29,5,1,5,4,2,4,9,2,12,1,4,3,3,6,1,1,25,1,3,3,1,5,1,21,1,8,1,2,1,5,1,1,10,1,16,7,4,3,12,2,5,16,32,1,1,16,4,2,1,2,7,8,3,2,1,3,1,12,1,2,14,1,5,3,2,7,4,4,1,9,1,1,2,1,1,3,2,4,1,2,1,20,1,5,15,3,10,4,2,1,4,12,1,4,1,16,1
